amfi_code,max_drawdown,scheme_name
100016,-24.7344408806733,HDFC Top 100 Fund - Regular Plan - Growth
100025,-4.308263824636346,HDFC Short Term Debt Fund - Regular - Growth
100033,-16.21720857464485,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,-11.291596329323077,ABSL Frontline Equity Fund - Regular - Growth
101207,-35.44691649336603,ABSL Small Cap Fund - Regular - Growth
101208,-0.16224980244717319,ABSL Liquid Fund - Regular - Growth
102885,-10.859862152502323,UTI Nifty 50 Index Fund - Regular - Growth
102886,-28.00112356639287,UTI Mid Cap Fund - Regular - Growth
102887,-21.53982711238323,UTI Flexi Cap Fund - Regular - Growth
118632,-17.41407508665723,Nippon India Large Cap Fund - Regular - Growth
118633,-18.629743138595508,Nippon India Large Cap Fund - Direct - Growth
118634,-23.34488614483311,Nippon India Small Cap Fund - Regular - Growth
118635,-11.650624505409093,Nippon India ETF Nifty 50 BeES
118636,-8.316361763638701,Nippon India Gilt Securities Fund - Regular - Growth
119092,-14.401617909337267,Axis Bluechip Fund - Regular - Growth
119093,-21.75139637014823,Axis Bluechip Fund - Direct - Growth
119094,-20.960883862039193,Axis Midcap Fund - Regular - Growth
119095,-51.67775370852657,Axis Small Cap Fund - Regular - Growth
119120,-4.328728923970098,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,-15.012385498645333,SBI Bluechip Fund - Regular Plan - Growth
119552,-11.8034935027643,SBI Bluechip Fund - Direct Plan - Growth
119598,-28.706005721764555,SBI Small Cap Fund - Regular Plan - Growth
119599,-52.574221170128496,SBI Small Cap Fund - Direct Plan - Growth
120503,-13.897862823061635,ICICI Pru Bluechip Fund - Regular - Growth
120504,-12.588275606922513,ICICI Pru Bluechip Fund - Direct - Growth
120505,-18.188513572116292,ICICI Pru Midcap Fund - Regular - Growth
120506,-19.82565826298267,ICICI Pru Value Discovery Fund - Regular - Growth
120507,-0.09773140045925681,ICICI Pru Liquid Fund - Regular - Growth
120841,-17.573614164687285,Kotak Bluechip Fund - Regular - Growth
120842,-24.003511326274882,Kotak Emerging Equity Fund - Regular - Growth
120843,-12.97396816518679,Kotak Flexicap Fund - Regular - Growth
120844,-0.11629327956168764,Kotak Liquid Fund - Regular - Growth
125497,-15.200013055606393,HDFC Top 100 Fund - Direct Plan - Growth
125498,-21.117279560132122,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,-11.26572907502827,Mirae Asset Large Cap Fund - Regular - Growth
148568,-15.27259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,-16.396742946932633,Mirae Asset Tax Saver Fund - Regular - Growth
149322,-14.844576917771747,DSP Top 100 Equity Fund - Regular - Growth
149323,-17.24810575345138,DSP Midcap Fund - Regular - Growth
149324,-31.17190030063422,DSP Small Cap Fund - Regular - Growth
